Wall time,Step,Value
1495659352.8724608,863,0.0703125
1495659359.3071706,901,0.1015625
1495659363.8393886,929,0.125
1495659383.584945,1043,0.1328125
1495659396.3483145,1115,0.140625
1495659411.5957115,1206,0.109375
1495659433.3669806,1336,0.0859375
1495659446.0270731,1411,0.0859375
1495659461.0119483,1501,0.1015625
1495659461.4193468,1504,0.1328125
1495659496.6229606,1709,0.0703125
1495659498.5586324,1719,0.1796875
1495659504.9788332,1753,0.1328125
1495659506.6059556,1763,0.1484375
1495659510.7977207,1789,0.1171875
1495659518.104802,1834,0.078125
1495659522.6634898,1857,0.078125
1495659535.6571152,1932,0.1171875
1495659547.4116912,1998,0.1015625
1495659566.4981549,2111,0.1328125
1495659574.629516,2160,0.1328125
1495659588.0688813,2241,0.0859375
1495659589.6808312,2252,0.140625
1495659593.317892,2272,0.0859375
1495660667.8862686,20,0.0859375
1495660678.1294987,161,0.125
1495660681.0219085,200,0.0703125
1495660683.2500532,229,0.0859375
1495660691.8076794,316,0.0703125
1495660696.587998,364,0.140625
1495660696.7659411,366,0.1171875
1495660699.8531954,404,0.1171875
1495660701.4231575,427,0.1328125
1495660706.6802185,498,0.0703125
1495660716.8338218,639,0.15625
1495660721.4810262,703,0.1484375
1495660728.4677026,801,0.1484375
1495660729.026913,809,0.09375
1495660741.7275,983,0.1484375
1495660744.2238412,1016,0.09375
1495660749.4788585,1090,0.1171875
1495660752.4568167,1129,0.0625
1495660758.8724778,1215,0.0859375
1495660765.962943,1313,0.109375
1495660767.023554,1326,0.1484375
1495660767.652337,1335,0.09375
1495660773.3983312,1414,0.09375
1495660777.513287,1473,0.1015625
1495660785.7367468,1587,0.2265625
1495660786.902375,1602,0.140625
1495660793.393313,1681,0.125
1495660804.8710604,1768,0.1171875
1495660817.2618132,1894,0.1015625
1495660820.4201877,1929,0.1328125
1495660827.1250324,2003,0.171875
1495660838.471212,2127,0.1171875
1495660840.3435612,2148,0.0625
1495660842.4463418,2173,0.1015625
1495660848.3368733,2237,0.140625
1495660849.6710532,2251,0.0859375
1495660862.8774076,2374,0.109375
1495660864.4845545,2385,0.0546875
1495660874.6397383,2485,0.1015625
1495660880.5699706,2552,0.1640625
1495660901.5776927,2752,0.0625
1495660915.3148282,2879,0.078125
1495660915.4024913,2880,0.0859375
1495660918.3743386,2909,0.140625
1495660918.5506172,2911,0.09375
1495660928.077674,3010,0.0859375
1495660948.930992,3224,0.1015625
1495660949.632619,3230,0.1015625
1495660950.288751,3236,0.109375
1495660950.6788704,3240,0.109375
1495660950.7690988,3241,0.1171875
1495660961.7690208,3356,0.1328125
1495660984.5089614,3587,0.1796875
1495660994.492422,3685,0.1484375
1495660995.4000883,3695,0.1796875
1495660995.9971375,3702,0.1171875
1495660997.9233024,3720,0.1953125
1495661007.6741483,3821,0.125
1495661016.0634234,3907,0.09375
1495661024.904543,3998,0.15625
1495661025.1053283,4000,0.1015625
1495661028.463206,4032,0.2734375
1495661030.4934902,4050,0.0859375
1495661058.8516304,4333,0.2734375
1495661061.5299506,4359,0.328125
1495661065.8718204,4403,0.3828125
1495661081.2626653,4520,0.28125
1495661082.7708867,4533,0.34375
1495661092.3305893,4625,0.40625
1495661095.6966434,4654,0.390625
1495661099.855451,4693,0.453125
1495661137.4350672,5052,0.6015625
1495661140.0881891,5078,0.7421875
1495661142.4557598,5100,0.7265625
1495661144.210417,5119,0.7578125
1495661146.7736902,5144,0.7578125
1495661148.4959404,5160,0.765625
1495661160.8244944,5283,0.7890625
1495661167.2491353,5345,0.8203125
1495661187.3713572,5553,0.828125
1495661188.0087492,5560,0.828125
1495661188.828493,5569,0.828125
1495661194.1636484,5619,0.8828125
1495661197.0272355,5643,0.8359375
1495661200.2635775,5674,0.90625
1495661202.105541,5693,0.90625
1495661215.590975,5829,0.8359375
1495661223.93068,5910,0.8671875
1495661224.016514,5911,0.84375
1495661241.863284,6082,0.8359375
1495661242.5143366,6087,0.8828125
1495661244.938092,6113,0.8671875
1495661249.806214,6159,0.8984375
1495661251.3640862,6174,0.890625
1495661259.8716593,6256,0.8984375
1495661266.9197965,6325,0.8671875
1495661271.7033563,6366,0.8984375
1495661275.9322093,6409,0.921875
1495661289.902686,6541,0.9296875
1495661290.9059942,6552,0.890625
1495661301.0575259,6654,0.90625
1495661305.0668707,6694,0.8984375
1495661314.8119216,6788,0.9375
1495661316.1042075,6802,0.9140625
1495661317.7974486,6820,0.8515625
1495661356.3971167,7187,0.921875
1495661387.910835,7488,0.8984375
1495661391.6832387,7525,0.890625
1495661417.946345,7778,0.9453125
1495661420.5310829,7804,0.9296875
1495661429.3494637,7890,0.8984375
1495661436.1903577,7955,0.90625
1495661436.8275928,7962,0.8984375
1495661437.8339636,7970,0.9296875
1495661443.0273478,8018,0.921875
1495661443.845625,8027,0.90625
1495661449.6845617,8086,0.9375
1495661451.0454774,8099,0.9140625
1495661467.2902007,8256,0.9296875
1495661470.4357934,8289,0.9375
1495661475.3161771,8331,0.9453125
1495661494.7201397,8517,0.921875
1495661506.0331914,8624,0.9609375
1495661513.5015674,8693,0.953125
1495661518.6047285,8739,0.9296875
1495661523.8567693,8788,0.9609375
1495661529.6014373,8844,0.890625
1495661543.9519932,8976,0.9453125
1495661544.8384418,8984,0.921875
1495661555.490086,9084,0.953125
1495661556.76704,9096,0.9296875
1495661559.0258214,9116,0.953125
1495661571.0532978,9234,0.9453125
1495661573.5999804,9261,0.9609375
1495661573.8363705,9263,0.96875
1495661583.4787896,9353,0.984375
1495661590.9934578,9423,0.9609375
1495661595.0094268,9457,0.9375
1495661598.183725,9485,0.9140625
1495661612.8371835,9621,0.9609375
1495661622.7294369,9713,0.9453125
1495661632.720362,9810,0.9453125
1495661633.546947,9819,0.953125
1495661634.6480556,9831,0.9375
1495661636.8943355,9850,0.953125
1495661638.7047327,9867,0.953125
1495661644.0148745,9921,0.9453125
1495661645.334727,9933,0.9453125
1495661648.2001343,9958,0.9609375
1495661651.907066,9995,0.9375
1495661663.31675,10099,0.9453125
1495661665.7293582,10118,0.9921875
1495661671.702365,10171,0.984375
1495661677.62491,10223,0.9765625
1495661701.5015802,10444,0.921875
1495661703.9584045,10465,0.953125
1495661709.3786516,10520,0.96875
1495661718.5190923,10607,0.9375
1495661718.6177323,10608,0.9609375
1495661722.729768,10646,0.9609375
1495661726.2679434,10681,0.953125
1495661746.3503282,10865,0.96875
1495661755.8154078,10960,0.96875
1495661781.0228922,11197,0.9609375
1495661788.0498784,11259,0.9609375
1495661796.5456088,11336,0.9609375
1495661805.1755555,11415,0.953125
1495661807.5376952,11436,0.953125
1495661808.2839105,11444,0.953125
1495661810.0235736,11459,0.9375
1495661821.1107283,11563,0.9296875
1495661821.3386946,11565,0.984375
1495661831.4259207,11655,0.9375
1495661852.3619964,11853,0.9765625
1495661853.1504574,11860,0.9921875
1495661860.1516097,11926,0.96875
1495661860.6081376,11931,0.9921875
1495661871.7241838,12035,0.96875
1495661873.4026322,12052,0.9765625
1495661880.9050465,12119,0.9765625
1495661883.4169688,12139,0.9609375
1495661894.6024776,12246,0.96875
1495661901.3767374,12313,0.921875
1495661903.2473493,12328,0.984375
1495661904.779251,12344,0.96875
1495661905.9331548,12357,0.96875
1495661909.7063334,12392,0.984375
1495661912.5328846,12418,0.953125
1495661936.7446656,12651,0.9765625
1495661943.3655574,12711,0.984375
1495661946.3193438,12741,0.9609375
1495661948.6277897,12760,0.9609375
1495661958.768686,12849,0.953125
1495661963.9855494,12892,0.9765625
1495661964.818062,12901,0.96875
1495661968.3049052,12932,0.9765625
1495661974.4173257,12989,0.96875
1495661990.108452,13135,0.984375
1495662002.3384748,13251,1.0
1495662005.7039406,13284,0.9609375
1495662032.3683171,13537,0.9609375
1495662036.5075614,13571,0.984375
1495662065.2869673,13846,0.953125
1495662076.0750685,13958,0.96875
1495662105.6878319,14274,0.9609375
1495662110.7307162,14329,0.9765625
1495662112.0824752,14344,0.9453125
1495662121.73075,14447,0.9921875
1495662128.5115745,14521,0.984375
1495662129.9373014,14537,0.9921875
1495662131.1178057,14548,0.9609375
1495662134.1782486,14582,0.9765625
1495662141.4883032,14662,0.9765625
1495662147.21139,14723,0.984375
1495662147.295232,14724,0.9609375
1495662152.6262558,14782,0.953125
1495662154.5134292,14802,0.9765625
